joint_lock,aa_config,n_runs,qd_score,qd_score_std,total_successful_grasps,total_successful_grasps_std,total_robust_grasps,total_robust_grasps_std,success_rate,success_rate_std,robust_success_rate,robust_success_rate_std,success_archive_coverage,success_archive_coverage_std,diversity_knn,diversity_knn_std,avg_fitness,avg_fitness_std,max_fitness,max_fitness_std,runtime,runtime_std,n_evaluations,n_evaluations_std
lock_middle_ring,mid,1,2284.0,0.0,3236.0,0.0,561.0,0.0,22.76039603960396,0.0,3.9445544554455445,0.0,0.9434402332361517,0.0,0.012859864347155213,0.0,0.7058096415327565,0.0,2.0,0.0,343.5839250087738,0.0,50500.0,0.0
lock_index_middle,rest,1,2171.0,0.0,3627.0,0.0,494.0,0.0,24.087128712871287,0.0,3.2792079207920795,0.0,1.0574344023323614,0.0,0.012918208602577086,0.0,0.5985663082437276,0.0,2.0,0.0,339.93661618232727,0.0,50500.0,0.0
none,rest,1,2164.0,0.0,3364.0,0.0,530.0,0.0,26.005940594059407,0.0,4.097029702970297,0.0,0.9807580174927114,0.0,0.012906232054101767,0.0,0.643281807372176,0.0,2.0,0.0,318.0897147655487,0.0,50500.0,0.0
lock_index_middle,max,1,2158.0,0.0,3730.0,0.0,432.0,0.0,28.0950495049505,0.0,3.2534653465346537,0.0,1.0874635568513118,0.0,0.012863294676579401,0.0,0.5785522788203753,0.0,2.0,0.0,351.96072363853455,0.0,50500.0,0.0
lock_index_ring,default,1,2012.0,0.0,3085.0,0.0,488.0,0.0,22.615841584158417,0.0,3.576237623762376,0.0,0.8994169096209913,0.0,0.012926312134280483,0.0,0.6521880064829821,0.0,2.0,0.0,345.76573729515076,0.0,50500.0,0.0
lock_index_ring,rest,1,1956.0,0.0,3318.0,0.0,356.0,0.0,21.41782178217822,0.0,2.297029702970297,0.0,0.9673469387755103,0.0,0.012963293344430298,0.0,0.5895117540687161,0.0,2.0,0.0,329.9367709159851,0.0,50500.0,0.0
lock_middle_ring_little,max,1,1873.0,0.0,2938.0,0.0,470.0,0.0,18.92871287128713,0.0,3.0277227722772277,0.0,0.8565597667638484,0.0,0.01310375225647504,0.0,0.6375085091899251,0.0,2.0,0.0,328.693541765213,0.0,50500.0,0.0
lock_index_middle_ring,default,1,1868.0,0.0,2957.0,0.0,466.0,0.0,21.14059405940594,0.0,3.330693069306931,0.0,0.8620991253644316,0.0,0.01300409992322148,0.0,0.6317213391951302,0.0,2.0,0.0,339.75793266296387,0.0,50500.0,0.0
lock_index_little,mid,1,1725.0,0.0,2513.0,0.0,428.0,0.0,14.82970297029703,0.0,2.5247524752475248,0.0,0.7326530612244898,0.0,0.013129226873787323,0.0,0.6864305610823717,0.0,2.0,0.0,328.3272259235382,0.0,50500.0,0.0
lock_middle_ring,rest,1,1714.0,0.0,2666.0,0.0,325.0,0.0,16.821782178217823,0.0,2.0495049504950495,0.0,0.7772594752186589,0.0,0.012992499098597964,0.0,0.6429107276819205,0.0,2.0,0.0,326.87744665145874,0.0,50500.0,0.0
