joint_lock,aa_config,n_runs,qd_score,qd_score_std,total_successful_grasps,total_successful_grasps_std,total_robust_grasps,total_robust_grasps_std,success_rate,success_rate_std,robust_success_rate,robust_success_rate_std,success_archive_coverage,success_archive_coverage_std,diversity_knn,diversity_knn_std,avg_fitness,avg_fitness_std,max_fitness,max_fitness_std,runtime,runtime_std,n_evaluations,n_evaluations_std
lock_middle_ring_little,mid,5,3231.0,320.181198698487,4602.8,262.19031255940786,1215.2,183.70019052793603,35.844752475247525,2.3437092402102264,9.472871287128713,1.4933378963710677,1.3419241982507288,0.07644032436134335,0.01277706129189397,4.31573497410454e-05,0.7019630377176698,0.05567243247423842,2.0,0.0,356.2066861629486,118.15216335305746,50500.0,0.0
lock_index_middle,default,5,3185.2,324.34450820077103,4688.2,314.7350631880725,1206.0,150.65855435387664,37.221386138613866,4.626711447428177,9.613861386138614,1.7859432177814325,1.3668221574344022,0.09175949364083741,0.01278045302146393,7.812793036164386e-05,0.678476967568107,0.036629935834908804,2.0,0.0,362.68877425193784,104.75345609396872,50500.0,0.0
lock_middle_little,mid,5,3160.8,589.1995926678836,4467.2,522.3230418045905,1243.2,256.41170020106335,33.70019801980198,7.057276903898846,9.487128712871288,2.7385939591066806,1.3023906705539359,0.15228077020541994,0.012872072817266036,0.0001900457776663272,0.7022077266223674,0.0745541173332771,2.0,0.0,349.83985857963563,119.70270054227538,50500.0,0.0
none,mid,5,3064.0,422.76187150688037,4519.8,775.7451643420021,1174.2,185.62693770032408,32.61188118811881,8.695119088947731,8.451881188118811,2.1347193729607623,1.3177259475218661,0.22616477094519016,0.012891020400499095,0.00019297919942377868,0.6824651960542021,0.027327268520504384,2.0,0.0,334.1996513843536,110.7584246567806,50500.0,0.0
none,default,5,3047.4,336.0021428503098,4715.4,188.10273788544387,1138.0,186.01720350548226,37.330297029702976,1.5394179124161644,9.041188118811881,1.6507785842808131,1.3747521865889214,0.054840448363103186,0.012762958451599707,3.158853347156103e-05,0.6459870259763371,0.0657298368877732,2.0,0.0,340.98931126594545,122.86389124457607,50500.0,0.0
lock_index_ring,default,5,3042.6,427.20795872736267,4574.4,333.0360941399595,1155.6,171.25840125377792,34.134257425742575,5.053558210140271,8.64910891089109,1.7694047854504695,1.3336443148688044,0.09709507117783081,0.012844174583654644,0.00011898576964170074,0.6618677729895062,0.05483509444583116,2.0,0.0,348.8884991168976,106.90962998288025,50500.0,0.0
lock_thumb,default,5,3035.6,634.0348886299554,4475.6,534.7947643722778,1164.2,305.9773847852158,32.67683168316832,7.758651804012113,8.602376237623762,3.2286307172244206,1.3048396501457726,0.15591684092486224,0.012885460566746377,0.00015069868989620242,0.6731460847075142,0.08009902568783855,2.0,0.0,348.7635486125946,164.69697041009752,50500.0,0.0
lock_thumb,max,5,3008.6,410.14026868865244,4549.8,416.5123767668855,1114.4,167.13180427435108,34.30178217821782,6.747850406559337,8.394059405940594,1.9305551613605285,1.3264723032069972,0.12143217981541858,0.012805599249663754,0.0001310119059413152,0.6596920215158175,0.051139781603559024,2.0,0.0,335.6111488342285,80.70013415881888,50500.0,0.0
lock_index_middle,mid,5,2994.0,101.14939446185528,4265.6,174.39220166051004,1184.4,96.48336644209715,30.119999999999997,2.610179404912773,8.356831683168316,0.9160734199474639,1.2436151603498544,0.05084320748119832,0.01290556985183807,3.127101639977163e-05,0.7034409513366394,0.04369482926590843,2.0,0.0,330.40509634017945,102.23138728197824,50500.0,0.0
lock_index_middle_little,default,5,2988.2,820.0566809678463,4094.4,886.9368861424132,1166.8,327.4357341525204,28.254653465346536,9.719655292750922,8.133861386138614,3.115367099632718,1.1937026239067055,0.25858218254880844,0.013055100590508222,0.0003580269507496023,0.7174669259801224,0.08117598799194493,2.0,0.0,319.2007766723633,101.45645156944606,50500.0,0.0
